pathway,abundance,relative_abundance,L1
01100 Metabolic pathways (2020),2020,69.7814677,Metabolism
01120 Microbial metabolism in diverse environments (738),738,25.49441741,Metabolism
01110 Biosynthesis of secondary metabolites (672),672,23.21442886,Metabolism
02020 Two-component system (390),390,13.4726596,Environmental Information Processing
02010 ABC transporters (293),293,10.12176734,Environmental Information Processing
01200 Carbon metabolism (258),258,8.912682508,Metabolism
01240 Biosynthesis of cofactors (238),238,8.221776887,Metabolism
01230 Biosynthesis of amino acids (184),184,6.356331711,Metabolism
00680 Methane metabolism (144),144,4.97452047,Metabolism
02024 Quorum sensing (141),141,4.870884626,Cellular Processes
01220 Degradation of aromatic compounds (129),129,4.456341254,Metabolism
00230 Purine metabolism (106),106,3.66179979,Metabolism
00520 Amino sugar and nucleotide sugar metabolism (96),96,3.31634698,Metabolism
00190 Oxidative phosphorylation (95),95,3.281801699,Metabolism
00620 Pyruvate metabolism (89),89,3.074530012,Metabolism
00860 Porphyrin metabolism (85),85,2.936348888,Metabolism
03010 Ribosome (83),83,2.867258326,Genetic Information Processing
01250 Biosynthesis of nucleotide sugars (82),82,2.832713045,Metabolism
00720 Carbon fixation pathways in prokaryotes (82),82,2.832713045,Metabolism
01232 Nucleotide metabolism (78),78,2.694531921,Metabolism
00630 Glyoxylate and dicarboxylate metabolism (77),77,2.65998664,Metabolism
00010 Glycolysis / Gluconeogenesis (74),74,2.556350797,Metabolism
00051 Fructose and mannose metabolism (74),74,2.556350797,Metabolism
"00260 Glycine, serine and threonine metabolism (74)",74,2.556350797,Metabolism
00362 Benzoate degradation (74),74,2.556350797,Metabolism
03070 Bacterial secretion system (74),74,2.556350797,Environmental Information Processing
05111 Biofilm formation - Vibrio cholerae (70),70,2.418169673,Cellular Processes
00240 Pyrimidine metabolism (69),69,2.383624392,Metabolism
00500 Starch and sucrose metabolism (68),68,2.349079111,Metabolism
00650 Butanoate metabolism (67),67,2.31453383,Metabolism
00330 Arginine and proline metabolism (65),65,2.245443267,Metabolism
00640 Propanoate metabolism (64),64,2.210897986,Metabolism
00270 Cysteine and methionine metabolism (62),62,2.141807424,Metabolism
00030 Pentose phosphate pathway (54),54,1.865445176,Metabolism
00920 Sulfur metabolism (54),54,1.865445176,Metabolism
02040 Flagellar assembly (50),50,1.727264052,Cellular Processes
00040 Pentose and glucuronate interconversions (49),49,1.692718771,Metabolism
00540 Lipopolysaccharide biosynthesis (49),49,1.692718771,Metabolism
00910 Nitrogen metabolism (48),48,1.65817349,Metabolism
00627 Aminobenzoate degradation (47),47,1.623628209,Metabolism
00020 Citrate cycle (TCA cycle) (46),46,1.589082928,Metabolism
00052 Galactose metabolism (46),46,1.589082928,Metabolism
"00400 Phenylalanine, tyrosine and tryptophan biosynthesis (46)",46,1.589082928,Metabolism
00360 Phenylalanine metabolism (45),45,1.554537647,Metabolism
02060 Phosphotransferase system (PTS) (45),45,1.554537647,Environmental Information Processing
"00250 Alanine, aspartate and glutamate metabolism (44)",44,1.519992366,Metabolism
"00280 Valine, leucine and isoleucine degradation (44)",44,1.519992366,Metabolism
00350 Tyrosine metabolism (44),44,1.519992366,Metabolism
00541 O-Antigen nucleotide sugar biosynthesis (44),44,1.519992366,Metabolism
01210 2-Oxocarboxylic acid metabolism (42),42,1.450901804,Metabolism
02026 Biofilm formation - Escherichia coli (42),42,1.450901804,Cellular Processes
00790 Folate biosynthesis (41),41,1.416356523,Metabolism
00550 Peptidoglycan biosynthesis (39),39,1.34726596,Metabolism
02025 Biofilm formation - Pseudomonas aeruginosa (39),39,1.34726596,Cellular Processes
00220 Arginine biosynthesis (38),38,1.312720679,Metabolism
00970 Aminoacyl-tRNA biosynthesis (37),37,1.278175398,Genetic Information Processing
00564 Glycerophospholipid metabolism (36),36,1.243630117,Metabolism
01503 Cationic antimicrobial peptide (CAMP) resistance (36),36,1.243630117,Human Diseases
00760 Nicotinate and nicotinamide metabolism (34),34,1.174539555,Metabolism
01212 Fatty acid metabolism (33),33,1.139994274,Metabolism
00300 Lysine biosynthesis (33),33,1.139994274,Metabolism
01053 Biosynthesis of siderophore group nonribosomal peptides (32),32,1.105448993,Metabolism
00380 Tryptophan metabolism (31),31,1.070903712,Metabolism
00770 Pantothenate and CoA biosynthesis (31),31,1.070903712,Metabolism
00900 Terpenoid backbone biosynthesis (31),31,1.070903712,Metabolism
00623 Toluene degradation (31),31,1.070903712,Metabolism
03030 DNA replication (31),31,1.070903712,Genetic Information Processing
04112 Cell cycle - Caulobacter (31),31,1.070903712,Cellular Processes
00561 Glycerolipid metabolism (30),30,1.036358431,Metabolism
00130 Ubiquinone and other terpenoid-quinone biosynthesis (30),30,1.036358431,Metabolism
03440 Homologous recombination (30),30,1.036358431,Genetic Information Processing
00053 Ascorbate and aldarate metabolism (29),29,1.00181315,Metabolism
00340 Histidine metabolism (29),29,1.00181315,Metabolism
05171 Coronavirus disease - COVID-19 (28),28,0.967267869,Human Diseases
00071 Fatty acid degradation (27),27,0.932722588,Metabolism
00310 Lysine degradation (27),27,0.932722588,Metabolism
00480 Glutathione metabolism (27),27,0.932722588,Metabolism
03430 Mismatch repair (27),27,0.932722588,Genetic Information Processing
05134 Legionellosis (27),27,0.932722588,Human Diseases
01501 beta-Lactam resistance (27),27,0.932722588,Human Diseases
00906 Carotenoid biosynthesis (26),26,0.898177307,Metabolism
02030 Bacterial chemotaxis (26),26,0.898177307,Cellular Processes
00740 Riboflavin metabolism (25),25,0.863632026,Metabolism
00710 Carbon fixation in photosynthetic organisms (24),24,0.829086745,Metabolism
00410 beta-Alanine metabolism (24),24,0.829086745,Metabolism
00470 D-Amino acid metabolism (24),24,0.829086745,Metabolism
00730 Thiamine metabolism (24),24,0.829086745,Metabolism
00622 Xylene degradation (24),24,0.829086745,Metabolism
05132 Salmonella infection (24),24,0.829086745,Human Diseases
05131 Shigellosis (24),24,0.829086745,Human Diseases
00195 Photosynthesis (23),23,0.794541464,Metabolism
05150 Staphylococcus aureus infection (23),23,0.794541464,Human Diseases
00361 Chlorocyclohexane and chlorobenzene degradation (22),22,0.759996183,Metabolism
03060 Protein export (22),22,0.759996183,Genetic Information Processing
03018 RNA degradation (22),22,0.759996183,Genetic Information Processing
00450 Selenocompound metabolism (21),21,0.725450902,Metabolism
00670 One carbon pool by folate (21),21,0.725450902,Metabolism
03410 Base excision repair (21),21,0.725450902,Genetic Information Processing
00061 Fatty acid biosynthesis (20),20,0.690905621,Metabolism
00543 Exopolysaccharide biosynthesis (20),20,0.690905621,Metabolism
00983 Drug metabolism - other enzymes (20),20,0.690905621,Metabolism
03020 RNA polymerase (19),19,0.65636034,Genetic Information Processing
05133 Pertussis (19),19,0.65636034,Human Diseases
00430 Taurine and hypotaurine metabolism (18),18,0.621815059,Metabolism
00633 Nitrotoluene degradation (18),18,0.621815059,Metabolism
00624 Polycyclic aromatic hydrocarbon degradation (18),18,0.621815059,Metabolism
04122 Sulfur relay system (18),18,0.621815059,Genetic Information Processing
05100 Bacterial invasion of epithelial cells (18),18,0.621815059,Human Diseases
00660 C5-Branched dibasic acid metabolism (17),17,0.587269778,Metabolism
00562 Inositol phosphate metabolism (17),17,0.587269778,Metabolism
00625 Chloroalkane and chloroalkene degradation (17),17,0.587269778,Metabolism
01051 Biosynthesis of ansamycins (16),16,0.552724497,Metabolism
01054 Nonribosomal peptide structures (16),16,0.552724497,Metabolism
04146 Peroxisome (16),16,0.552724497,Cellular Processes
"00290 Valine, leucine and isoleucine biosynthesis (15)",15,0.518179216,Metabolism
00440 Phosphonate and phosphinate metabolism (15),15,0.518179216,Metabolism
00780 Biotin metabolism (15),15,0.518179216,Metabolism
00626 Naphthalene degradation (15),15,0.518179216,Metabolism
04142 Lysosome (15),15,0.518179216,Cellular Processes
00984 Steroid degradation (14),14,0.483633935,Metabolism
05130 Pathogenic Escherichia coli infection (14),14,0.483633935,Human Diseases
00460 Cyanoamino acid metabolism (13),13,0.449088653,Metabolism
00511 Other glycan degradation (13),13,0.449088653,Metabolism
00552 Teichoic acid biosynthesis (13),13,0.449088653,Metabolism
00281 Geraniol degradation (13),13,0.449088653,Metabolism
01052 Type I polyketide structures (13),13,0.449088653,Metabolism
00643 Styrene degradation (13),13,0.449088653,Metabolism
03008 Ribosome biogenesis in eukaryotes (13),13,0.449088653,Genetic Information Processing
04626 Plant-pathogen interaction (13),13,0.449088653,Organismal Systems
05110 Vibrio cholerae infection (13),13,0.449088653,Human Diseases
00261 Monobactam biosynthesis (12),12,0.414543372,Metabolism
00521 Streptomycin biosynthesis (12),12,0.414543372,Metabolism
03420 Nucleotide excision repair (12),12,0.414543372,Genetic Information Processing
04066 HIF-1 signaling pathway (12),12,0.414543372,Environmental Information Processing
04922 Glucagon signaling pathway (12),12,0.414543372,Organismal Systems
05208 Chemical carcinogenesis - reactive oxygen species (12),12,0.414543372,Human Diseases
05022 Pathways of neurodegeneration - multiple diseases (12),12,0.414543372,Human Diseases
05415 Diabetic cardiomyopathy (12),12,0.414543372,Human Diseases
00600 Sphingolipid metabolism (11),11,0.379998091,Metabolism
00750 Vitamin B6 metabolism (11),11,0.379998091,Metabolism
00364 Fluorobenzoate degradation (11),11,0.379998091,Metabolism
00930 Caprolactam degradation (11),11,0.379998091,Metabolism
00621 Dioxin degradation (11),11,0.379998091,Metabolism
00571 Lipoarabinomannan (LAM) biosynthesis (10),10,0.34545281,Metabolism
"00960 Tropane, piperidine and pyridine alkaloid biosynthesis (10)",10,0.34545281,Metabolism
00791 Atrazine degradation (10),10,0.34545281,Metabolism
05230 Central carbon metabolism in cancer (10),10,0.34545281,Human Diseases
05120 Epithelial cell signaling in Helicobacter pylori infection (10),10,0.34545281,Human Diseases
05152 Tuberculosis (10),10,0.34545281,Human Diseases
05012 Parkinson disease (10),10,0.34545281,Human Diseases
00531 Glycosaminoglycan degradation (9),9,0.310907529,Metabolism
00950 Isoquinoline alkaloid biosynthesis (9),9,0.310907529,Metabolism
04152 AMPK signaling pathway (9),9,0.310907529,Environmental Information Processing
03320 PPAR signaling pathway (9),9,0.310907529,Organismal Systems
04714 Thermogenesis (9),9,0.310907529,Organismal Systems
05200 Pathways in cancer (9),9,0.310907529,Human Diseases
05010 Alzheimer disease (9),9,0.310907529,Human Diseases
05014 Amyotrophic lateral sclerosis (9),9,0.310907529,Human Diseases
01040 Biosynthesis of unsaturated fatty acids (8),8,0.276362248,Metabolism
00401 Novobiocin biosynthesis (8),8,0.276362248,Metabolism
00642 Ethylbenzene degradation (8),8,0.276362248,Metabolism
00982 Drug metabolism - cytochrome P450 (8),8,0.276362248,Metabolism
04910 Insulin signaling pathway (8),8,0.276362248,Organismal Systems
04212 Longevity regulating pathway - worm (8),8,0.276362248,Organismal Systems
05016 Huntington disease (8),8,0.276362248,Human Diseases
01502 Vancomycin resistance (8),8,0.276362248,Human Diseases
00196 Photosynthesis - antenna proteins (7),7,0.241816967,Metabolism
00903 Limonene and pinene degradation (7),7,0.241816967,Metabolism
01057 Biosynthesis of type II polyketide products (7),7,0.241816967,Metabolism
00311 Penicillin and cephalosporin biosynthesis (7),7,0.241816967,Metabolism
00980 Metabolism of xenobiotics by cytochrome P450 (7),7,0.241816967,Metabolism
04141 Protein processing in endoplasmic reticulum (7),7,0.241816967,Genetic Information Processing
04621 NOD-like receptor signaling pathway (7),7,0.241816967,Organismal Systems
00140 Steroid hormone biosynthesis (6),6,0.207271686,Metabolism
00510 N-Glycan biosynthesis (6),6,0.207271686,Metabolism
00909 Sesquiterpenoid and triterpenoid biosynthesis (6),6,0.207271686,Metabolism
04151 PI3K-Akt signaling pathway (6),6,0.207271686,Environmental Information Processing
04217 Necroptosis (6),6,0.207271686,Cellular Processes
04974 Protein digestion and absorption (6),6,0.207271686,Organismal Systems
05204 Chemical carcinogenesis - DNA adducts (6),6,0.207271686,Human Diseases
05020 Prion disease (6),6,0.207271686,Human Diseases
05418 Fluid shear stress and atherosclerosis (6),6,0.207271686,Human Diseases
04936 Alcoholic liver disease (6),6,0.207271686,Human Diseases
00100 Steroid biosynthesis (5),5,0.172726405,Metabolism
00565 Ether lipid metabolism (5),5,0.172726405,Metabolism
00572 Arabinogalactan biosynthesis - Mycobacterium (5),5,0.172726405,Metabolism
01056 Biosynthesis of type II polyketide backbone (5),5,0.172726405,Metabolism
00253 Tetracycline biosynthesis (5),5,0.172726405,Metabolism
00940 Phenylpropanoid biosynthesis (5),5,0.172726405,Metabolism
03022 Basal transcription factors (5),5,0.172726405,Genetic Information Processing
04260 Cardiac muscle contraction (5),5,0.172726405,Organismal Systems
04213 Longevity regulating pathway - multiple species (5),5,0.172726405,Organismal Systems
05165 Human papillomavirus infection (5),5,0.172726405,Human Diseases
05146 Amoebiasis (5),5,0.172726405,Human Diseases
05417 Lipid and atherosclerosis (5),5,0.172726405,Human Diseases
04932 Non-alcoholic fatty liver disease (5),5,0.172726405,Human Diseases
04931 Insulin resistance (5),5,0.172726405,Human Diseases
00590 Arachidonic acid metabolism (4),4,0.138181124,Metabolism
00591 Linoleic acid metabolism (4),4,0.138181124,Metabolism
00592 alpha-Linolenic acid metabolism (4),4,0.138181124,Metabolism
00785 Lipoic acid metabolism (4),4,0.138181124,Metabolism
00830 Retinol metabolism (4),4,0.138181124,Metabolism
00523 Polyketide sugar unit biosynthesis (4),4,0.138181124,Metabolism
03050 Proteasome (4),4,0.138181124,Genetic Information Processing
04068 FoxO signaling pathway (4),4,0.138181124,Environmental Information Processing
04210 Apoptosis (4),4,0.138181124,Cellular Processes
04216 Ferroptosis (4),4,0.138181124,Cellular Processes
04614 Renin-angiotensin system (4),4,0.138181124,Organismal Systems
04978 Mineral absorption (4),4,0.138181124,Organismal Systems
04964 Proximal tubule bicarbonate reclamation (4),4,0.138181124,Organismal Systems
04727 GABAergic synapse (4),4,0.138181124,Organismal Systems
04726 Serotonergic synapse (4),4,0.138181124,Organismal Systems
05206 MicroRNAs in cancer (4),4,0.138181124,Human Diseases
05203 Viral carcinogenesis (4),4,0.138181124,Human Diseases
05231 Choline metabolism in cancer (4),4,0.138181124,Human Diseases
05164 Influenza A (4),4,0.138181124,Human Diseases
05167 Kaposi sarcoma-associated herpesvirus infection (4),4,0.138181124,Human Diseases
05135 Yersinia infection (4),4,0.138181124,Human Diseases
05143 African trypanosomiasis (4),4,0.138181124,Human Diseases
05017 Spinocerebellar ataxia (4),4,0.138181124,Human Diseases
01523 Antifolate resistance (4),4,0.138181124,Human Diseases
00121 Secondary bile acid biosynthesis (3),3,0.103635843,Metabolism
00513 Various types of N-glycan biosynthesis (3),3,0.103635843,Metabolism
00603 Glycosphingolipid biosynthesis - globo and isoglobo series (3),3,0.103635843,Metabolism
01059 Biosynthesis of enediyne antibiotics (3),3,0.103635843,Metabolism
00232 Caffeine metabolism (3),3,0.103635843,Metabolism
00405 Phenazine biosynthesis (3),3,0.103635843,Metabolism
00333 Prodigiosin biosynthesis (3),3,0.103635843,Metabolism
03450 Non-homologous end-joining (3),3,0.103635843,Genetic Information Processing
04070 Phosphatidylinositol signaling system (3),3,0.103635843,Environmental Information Processing
04024 cAMP signaling pathway (3),3,0.103635843,Environmental Information Processing
04138 Autophagy - yeast (3),3,0.103635843,Cellular Processes
04913 Ovarian steroidogenesis (3),3,0.103635843,Organismal Systems
04918 Thyroid hormone synthesis (3),3,0.103635843,Organismal Systems
04919 Thyroid hormone signaling pathway (3),3,0.103635843,Organismal Systems
"04928 Parathyroid hormone synthesis, secretion and action (3)",3,0.103635843,Organismal Systems
04972 Pancreatic secretion (3),3,0.103635843,Organismal Systems
04976 Bile secretion (3),3,0.103635843,Organismal Systems
04973 Carbohydrate digestion and absorption (3),3,0.103635843,Organismal Systems
04724 Glutamatergic synapse (3),3,0.103635843,Organismal Systems
04728 Dopaminergic synapse (3),3,0.103635843,Organismal Systems
05205 Proteoglycans in cancer (3),3,0.103635843,Human Diseases
05207 Chemical carcinogenesis - receptor activation (3),3,0.103635843,Human Diseases
05225 Hepatocellular carcinoma (3),3,0.103635843,Human Diseases
05222 Small cell lung cancer (3),3,0.103635843,Human Diseases
05160 Hepatitis C (3),3,0.103635843,Human Diseases
05168 Herpes simplex virus 1 infection (3),3,0.103635843,Human Diseases
05034 Alcoholism (3),3,0.103635843,Human Diseases
00062 Fatty acid elongation (2),2,0.069090562,Metabolism
00120 Primary bile acid biosynthesis (2),2,0.069090562,Metabolism
00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis (2),2,0.069090562,Metabolism
00542 O-Antigen repeat unit biosynthesis (2),2,0.069090562,Metabolism
00901 Indole alkaloid biosynthesis (2),2,0.069090562,Metabolism
00965 Betalain biosynthesis (2),2,0.069090562,Metabolism
00966 Glucosinolate biosynthesis (2),2,0.069090562,Metabolism
00332 Carbapenem biosynthesis (2),2,0.069090562,Metabolism
"00524 Neomycin, kanamycin and gentamicin biosynthesis (2)",2,0.069090562,Metabolism
00525 Acarbose and validamycin biosynthesis (2),2,0.069090562,Metabolism
00404 Staurosporine biosynthesis (2),2,0.069090562,Metabolism
00363 Bisphenol degradation (2),2,0.069090562,Metabolism
03013 Nucleocytoplasmic transport (2),2,0.069090562,Genetic Information Processing
03015 mRNA surveillance pathway (2),2,0.069090562,Genetic Information Processing
04120 Ubiquitin mediated proteolysis (2),2,0.069090562,Genetic Information Processing
03460 Fanconi anemia pathway (2),2,0.069090562,Genetic Information Processing
04016 MAPK signaling pathway - plant (2),2,0.069090562,Environmental Information Processing
04020 Calcium signaling pathway (2),2,0.069090562,Environmental Information Processing
04072 Phospholipase D signaling pathway (2),2,0.069090562,Environmental Information Processing
04071 Sphingolipid signaling pathway (2),2,0.069090562,Environmental Information Processing
04512 ECM-receptor interaction (2),2,0.069090562,Environmental Information Processing
04137 Mitophagy - animal (2),2,0.069090562,Cellular Processes
04113 Meiosis - yeast (2),2,0.069090562,Cellular Processes
04214 Apoptosis - fly (2),2,0.069090562,Cellular Processes
04115 p53 signaling pathway (2),2,0.069090562,Cellular Processes
04510 Focal adhesion (2),2,0.069090562,Cellular Processes
04657 IL-17 signaling pathway (2),2,0.069090562,Organismal Systems
04923 Regulation of lipolysis in adipocytes (2),2,0.069090562,Organismal Systems
04920 Adipocytokine signaling pathway (2),2,0.069090562,Organismal Systems
04921 Oxytocin signaling pathway (2),2,0.069090562,Organismal Systems
04926 Relaxin signaling pathway (2),2,0.069090562,Organismal Systems
04970 Salivary secretion (2),2,0.069090562,Organismal Systems
04723 Retrograde endocannabinoid signaling (2),2,0.069090562,Organismal Systems
04361 Axon regeneration (2),2,0.069090562,Organismal Systems
04211 Longevity regulating pathway (2),2,0.069090562,Organismal Systems
05215 Prostate cancer (2),2,0.069090562,Human Diseases
05161 Hepatitis B (2),2,0.069090562,Human Diseases
05162 Measles (2),2,0.069090562,Human Diseases
05163 Human cytomegalovirus infection (2),2,0.069090562,Human Diseases
05169 Epstein-Barr virus infection (2),2,0.069090562,Human Diseases
05140 Leishmaniasis (2),2,0.069090562,Human Diseases
05142 Chagas disease (2),2,0.069090562,Human Diseases
05340 Primary immunodeficiency (2),2,0.069090562,Human Diseases
05030 Cocaine addiction (2),2,0.069090562,Human Diseases
05031 Amphetamine addiction (2),2,0.069090562,Human Diseases
04930 Type II diabetes mellitus (2),2,0.069090562,Human Diseases
04940 Type I diabetes mellitus (2),2,0.069090562,Human Diseases
04933 AGE-RAGE signaling pathway in diabetic complications (2),2,0.069090562,Human Diseases
01524 Platinum drug resistance (2),2,0.069090562,Human Diseases
00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate (1),1,0.034545281,Metabolism
00604 Glycosphingolipid biosynthesis - ganglio series (1),1,0.034545281,Metabolism
00902 Monoterpenoid biosynthesis (1),1,0.034545281,Metabolism
00981 Insect hormone biosynthesis (1),1,0.034545281,Metabolism
00908 Zeatin biosynthesis (1),1,0.034545281,Metabolism
01055 Biosynthesis of vancomycin group antibiotics (1),1,0.034545281,Metabolism
"00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis (1)",1,0.034545281,Metabolism
00941 Flavonoid biosynthesis (1),1,0.034545281,Metabolism
00944 Flavone and flavonol biosynthesis (1),1,0.034545281,Metabolism
00943 Isoflavonoid biosynthesis (1),1,0.034545281,Metabolism
00331 Clavulanic acid biosynthesis (1),1,0.034545281,Metabolism
03250 Viral life cycle - HIV-1 (1),1,0.034545281,Genetic Information Processing
03266 Virion - Herpesvirus (1),1,0.034545281,Genetic Information Processing
04013 MAPK signaling pathway - fly (1),1,0.034545281,Environmental Information Processing
04011 MAPK signaling pathway - yeast (1),1,0.034545281,Environmental Information Processing
04014 Ras signaling pathway (1),1,0.034545281,Environmental Information Processing
04370 VEGF signaling pathway (1),1,0.034545281,Environmental Information Processing
04371 Apelin signaling pathway (1),1,0.034545281,Environmental Information Processing
04064 NF-kappa B signaling pathway (1),1,0.034545281,Environmental Information Processing
04668 TNF signaling pathway (1),1,0.034545281,Environmental Information Processing
04022 cGMP-PKG signaling pathway (1),1,0.034545281,Environmental Information Processing
04150 mTOR signaling pathway (1),1,0.034545281,Environmental Information Processing
04080 Neuroactive ligand-receptor interaction (1),1,0.034545281,Environmental Information Processing
04144 Endocytosis (1),1,0.034545281,Cellular Processes
04145 Phagosome (1),1,0.034545281,Cellular Processes
04140 Autophagy - animal (1),1,0.034545281,Cellular Processes
04110 Cell cycle (1),1,0.034545281,Cellular Processes
04215 Apoptosis - multiple species (1),1,0.034545281,Cellular Processes
04530 Tight junction (1),1,0.034545281,Cellular Processes
04640 Hematopoietic cell lineage (1),1,0.034545281,Organismal Systems
04611 Platelet activation (1),1,0.034545281,Organismal Systems
04624 Toll and Imd signaling pathway (1),1,0.034545281,Organismal Systems
04622 RIG-I-like receptor signaling pathway (1),1,0.034545281,Organismal Systems
04625 C-type lectin receptor signaling pathway (1),1,0.034545281,Organismal Systems
04612 Antigen processing and presentation (1),1,0.034545281,Organismal Systems
04659 Th17 cell differentiation (1),1,0.034545281,Organismal Systems
04666 Fc gamma R-mediated phagocytosis (1),1,0.034545281,Organismal Systems
04911 Insulin secretion (1),1,0.034545281,Organismal Systems
04912 GnRH signaling pathway (1),1,0.034545281,Organismal Systems
04915 Estrogen signaling pathway (1),1,0.034545281,Organismal Systems
04914 Progesterone-mediated oocyte maturation (1),1,0.034545281,Organismal Systems
04917 Prolactin signaling pathway (1),1,0.034545281,Organismal Systems
04916 Melanogenesis (1),1,0.034545281,Organismal Systems
04924 Renin secretion (1),1,0.034545281,Organismal Systems
04925 Aldosterone synthesis and secretion (1),1,0.034545281,Organismal Systems
04261 Adrenergic signaling in cardiomyocytes (1),1,0.034545281,Organismal Systems
04971 Gastric acid secretion (1),1,0.034545281,Organismal Systems
04975 Fat digestion and absorption (1),1,0.034545281,Organismal Systems
04962 Vasopressin-regulated water reabsorption (1),1,0.034545281,Organismal Systems
04960 Aldosterone-regulated sodium reabsorption (1),1,0.034545281,Organismal Systems
04961 Endocrine and other factor-regulated calcium reabsorption (1),1,0.034545281,Organismal Systems
04725 Cholinergic synapse (1),1,0.034545281,Organismal Systems
04721 Synaptic vesicle cycle (1),1,0.034545281,Organismal Systems
05210 Colorectal cancer (1),1,0.034545281,Human Diseases
05212 Pancreatic cancer (1),1,0.034545281,Human Diseases
05211 Renal cell carcinoma (1),1,0.034545281,Human Diseases
05219 Bladder cancer (1),1,0.034545281,Human Diseases
05166 Human T-cell leukemia virus 1 infection (1),1,0.034545281,Human Diseases
05170 Human immunodeficiency virus 1 infection (1),1,0.034545281,Human Diseases
05145 Toxoplasmosis (1),1,0.034545281,Human Diseases
05322 Systemic lupus erythematosus (1),1,0.034545281,Human Diseases
05410 Hypertrophic cardiomyopathy (1),1,0.034545281,Human Diseases
05416 Viral myocarditis (1),1,0.034545281,Human Diseases
04934 Cushing syndrome (1),1,0.034545281,Human Diseases
01521 EGFR tyrosine kinase inhibitor resistance (1),1,0.034545281,Human Diseases
